Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,4,"C1,C9,C15,C17",470u,Digikey 399-3040-2-ND,
Capacitors,7,"C2-C3,C11,C13,C18,C22,C34",100n,Digikey 478-1422-6-ND,
Capacitors,2,C7-C8,22p,Digikey 478-1422-6-ND,
Capacitors,1,C28,1.5u,Digikey PCC2232TR-ND,
Capacitors,1,C29,0.56u,Digikey 478-1564-1-ND,
Resistors,2,"R1,R5",10K,Digikey 311-330HTR-ND,
Resistors,1,R2,3K,Digikey P1.2KZTR-ND,
Resistors,1,R3,6K,Digikey P1.2KZTR-ND,
Resistors,1,R4,1K,Digikey 311-330HTR-ND,
Resistors,6,"R6-R7,R58-R61",1K,Digikey P1.2KZTR-ND,
Resistors,4,"R10-R11,R13,R91",270,Digikey P1.2KZTR-ND,
Resistors,1,R18,1.0M,Digikey P1.00MHTR-ND,
Resistors,32,"R19,R37,R43,R62-R64,R81-R90,R93-R102,R108-R113",10K,Digikey P1.2KZTR-ND,
Resistors,1,R20,47,Digikey P1.2KZTR-ND,
Resistors,3,"R21,R30-R31",27R,Digikey P1.00MHTR-ND,
Resistors,2,"R22,R25",10k,Digikey P1.00MHTR-ND,
Resistors,2,"R26,R29",470,Digikey P1.00MHTR-ND,
Resistors,1,R40,200R,Digikey P1.00MHTR-ND,
Resistors,1,R56,100K,Digikey P1.2KZTR-ND,
Resistors,1,R76,1R,Digikey P1.2KZTR-ND,
Integrated Circuits,1,U1,XB24CZ7PIS-004,,
Integrated Circuits,1,U2,AMS1117 5.0,,
Integrated Circuits,1,U3,AMS1117 3.3,,
Integrated Circuits,1,U4,FM24CL32-G,,
Integrated Circuits,1,U14,ATMEGA2560,,
Integrated Circuits,1,U18,DS3231,,
Integrated Circuits,1,U30,FT232RL,,
Transistors,1,Q2,BC847B,,
Diodes,7,"D1-D4,D7,D11,D13",LED,,
Diodes,1,D14,DL4148,Digikey DL4148MSCT-ND,
Miscellaneous,1,BAT1,"3,6",Maplin DT60Q,
Miscellaneous,1,F1,500mA,Digikey P1.2KZTR-ND,
Miscellaneous,1,ICSP,CONN-DIL6,,
Miscellaneous,1,J1,USB MINI-8 SMT,,
Miscellaneous,2,"J2,J5",SIL-100-02,,
Miscellaneous,2,J3-J4,52207-1019,Molex 0522071019,
Miscellaneous,1,J12,CONN-DIL40,,
Miscellaneous,1,LS1,SOUNDER,,
Miscellaneous,1,SW1,BUTTON2,,
Miscellaneous,8,SW2-SW9,SW-PUSH4,,
Miscellaneous,1,X1,CRYSTAL,,
